Date (YYYYMMDD);Hour;Inflow (m^3/s)
20040129;8;1.68384409
20040129;9;1.680860043
20040129;10;1.684369922
20040129;11;1.900018811
20040129;12;2.797227144
20040129;13;3.32329011
20040129;14;2.386099339
20040129;15;3.043533802
20040129;16;3.750585794
20040129;17;3.74701333
20040129;18;3.935460091
20040129;19;4.845202923
20040129;20;3.774496794
20040129;21;3.347572803
20040129;22;3.640167713
20040129;23;3.351406813
20040129;24;3.092858553
20040130;1;3.56640172
20040130;2;2.893668175
20040130;3;3.113169432
20040130;4;3.028091669
20040130;5;2.887723923
20040130;6;2.449466705
20040130;7;2.489861965
20040130;8;2.53322649
20040130;9;2.192811966
20040130;10;2.119862795
20040130;11;2.096071005
20040130;12;1.90822649
20040130;13;1.863617897
20040130;14;1.847486854
20040130;15;1.792127013
20040130;16;1.760520935
20040130;17;1.739382505
20040130;18;1.721965671
20040130;19;1.707574487
20040130;20;1.69564724
20040130;21;1.685729027
20040130;22;1.677449703
20040130;23;1.670508504
20040130;24;1.664660335
20040131;1;1.6597054
20040131;2;1.655480623
20040131;3;1.651852846
20040131;4;1.648713589
20040131;5;1.645973921
20040131;6;1.649333835
20040131;7;1.672689438
20040131;8;1.682581902
20040131;9;1.642056108
20040131;10;1.638320923
20040131;11;1.635563612
20040131;12;1.633697152
20040131;13;1.632171988
20040131;14;1.630832314
20040131;15;1.62960124
20040131;16;1.628438711
20040131;17;1.627322674
20040131;18;1.626239896
20040131;19;1.625181794
20040131;20;1.624142289
20040131;21;1.623117208
20040131;22;1.622102976
20040131;23;1.621097803
20040131;24;1.620101094
20040201;1;1.619112492
20040201;2;1.618134141
20040201;3;1.617171168
20040201;4;1.616230607
20040201;5;1.615319133
20040201;6;1.614434719
20040201;7;1.613573551
20040201;8;1.612747192
20040201;9;1.611952066
20040201;10;1.611179113
20040201;11;1.610426784
20040201;12;1.609704256
20040201;13;1.609012842
20040201;14;1.608341932
20040201;15;1.607683539
20040201;16;1.607031584
20040201;17;1.606382966
20040201;18;1.605853438
20040201;19;1.615502
20040201;20;1.640073419
20040201;21;1.639264107
20040201;22;1.675831079
20040201;23;1.662252784
20040201;24;1.663622499
20040202;1;1.690962791
20040202;2;1.707655907
20040202;3;1.687978029
20040202;4;1.707555056
20040202;5;1.721022367
20040202;6;1.683860064
20040202;7;1.689509034
20040202;8;1.739534855
20040202;9;1.67172718
20040202;10;1.641244769
20040202;11;1.626008868
20040202;12;1.615137696
20040202;13;1.828748345
20040202;14;2.740891218
20040202;15;3.258479834
20040202;16;2.139487743
20040202;17;2.523150206
20040202;18;3.067161322
20040202;19;3.371269464
20040202;20;3.330048323
20040202;21;3.945548773
20040202;22;2.735395908
20040202;23;2.504787683
20040202;24;2.403917789
20040203;1;2.273666859
20040203;2;2.441502333
20040203;3;2.819621325
20040203;4;2.209222078
20040203;5;2.603638887
20040203;6;2.359992266
20040203;7;2.387099266
20040203;8;1.890565872
20040203;9;1.963298917
20040203;10;2.077250719
20040203;11;1.840975523
20040203;12;1.754469514
20040203;13;1.730963469
20040203;14;1.723176479
20040203;15;1.682066321
20040203;16;1.684656024
20040203;17;1.637921333
20040203;18;1.635885477
20040203;19;1.657051682
20040203;20;1.637871385
20040203;21;1.659507751
20040203;22;1.774335742
20040203;23;1.587890029
20040203;24;1.6525774
20040204;1;1.786919832
20040204;2;1.576675534
20040204;3;1.573916554
20040204;4;1.571502328
20040204;5;1.569369674
20040204;6;1.567466497
20040204;7;1.56575048
20040204;8;1.56418705
20040204;9;1.562747598
20040204;10;1.561409116
20040204;11;1.56015265
20040204;12;1.558962584
20040204;13;1.557826281
20040204;14;1.556733251
20040204;15;1.55567503
20040204;16;1.554644704
20040204;17;1.553636432
20040204;18;1.552645564
20040204;19;1.551668167
20040204;20;1.550701261
20040204;21;1.549742103
20040204;22;1.548788548
20040204;23;1.547839046
20040204;24;1.546892047
20040205;1;1.545946479
20040205;2;1.545001388
20040205;3;1.54405582
20040205;4;1.543109298
20040205;5;1.542161345
20040205;6;1.541211486
20040205;7;1.54025948
20040205;8;1.539305329
20040205;9;1.538349271
20040205;10;1.537391186
20040205;11;1.536432147
20040205;12;1.535473347
20040205;13;1.534516454
20040205;14;1.533562541
20040205;15;1.532611012
20040205;16;1.531660914
20040205;17;1.530713558
20040205;18;1.529766679
20040205;19;1.528818965
20040205;20;1.52787137
20040205;21;1.526924729
20040205;22;1.525978804
20040205;23;1.525033116
20040205;24;1.524086952
20040206;1;1.523137927
20040206;2;1.522184849
20040206;3;1.521229029
20040206;4;1.520271659
20040206;5;1.519313693
20040206;6;1.518355727
20040206;7;1.517398119
20040206;8;1.516440868
20040206;9;1.515484333
20040206;10;1.514528513
20040206;11;1.513573885
20040206;12;1.512620568
20040206;13;1.511668921
20040206;14;1.510719538
20040206;15;1.509771943
20040206;16;1.508826375
20040206;17;1.507883191
20040206;18;1.506942153
20040206;19;1.506003141
20040206;20;1.505066037
20040206;21;1.504131317
20040206;22;1.5031991
20040206;23;1.50226891
20040206;24;1.50134027
20040207;1;1.500413299
20040207;2;1.499487758
20040207;3;1.498563647
20040207;4;1.497641087
20040207;5;1.496720076
20040207;6;1.495800495
20040207;7;1.494882464
20040207;8;1.493965864
20040207;9;1.493050814
20040207;10;1.492137194
20040207;11;1.491225004
20040207;12;1.490314245
20040207;13;1.489404917
20040207;14;1.488497019
20040207;15;1.487590551
20040207;16;1.486685514
20040207;17;1.485782027
20040207;18;1.484879971
20040207;19;1.483979583
20040207;20;1.483080626
20040207;21;1.482183337
20040207;22;1.481287599
20040207;23;1.480393529
20040207;24;1.479501128
20040208;1;1.478610516
20040208;2;1.477721572
20040208;3;1.476834416
20040208;4;1.475949049
20040208;5;1.475065351
20040208;6;1.47418344
20040208;7;1.473303199
20040208;8;1.472424746
20040208;9;1.471547842
20040208;10;1.470672607
20040208;11;1.469798923
20040208;12;1.468926907
20040208;13;1.46805644
20040208;14;1.467187643
20040208;15;1.466320276
20040208;16;1.465454698
20040208;17;1.464590549
20040208;18;1.46372807
20040208;19;1.462867379
20040208;20;1.462008238
20040208;21;1.461150885
20040208;22;1.46029532
20040208;23;1.459441662
20040208;24;1.458589911
20040209;1;1.457740426
20040209;2;1.456893206
20040209;3;1.456048608
20040209;4;1.455206513
20040209;5;1.454367042
20040209;6;1.453530431
20040209;7;1.452696443
20040209;8;1.451865077
20040209;9;1.451036096
20040209;10;1.450209737
20040209;11;1.44938612
20040209;12;1.448564887
20040209;13;1.447745919
20040209;14;1.446928859
20040209;15;1.446113706
20040209;16;1.445300341
20040209;17;1.444488764
20040209;18;1.443678975
20040209;19;1.442870855
20040209;20;1.442064285
20040209;21;1.441259265
20040209;22;1.440455794
20040209;23;1.439653754
20040209;24;1.438853025
20040210;1;1.438053846
20040210;2;1.437255859
20040210;3;1.436459422
20040210;4;1.435664415
20040210;5;1.434870958
20040210;6;1.43407917
20040210;7;1.433289528
20040210;8;1.432501912
20040210;9;1.431716323
20040210;10;1.430932522
20040210;11;1.430150986
20040210;12;1.429371238
20040210;13;1.428593159
20040210;14;1.42781651
20040210;15;1.427041531
20040210;16;1.42626822
20040210;17;1.425495863
20040210;18;1.42472434
20040210;19;1.423953176
20040210;20;1.423182249
20040210;21;1.422411561
20040210;22;1.421640992
20040210;23;1.420870304
20040210;24;1.420099616
20040211;1;1.419328809
20040211;2;1.418557882
20040211;3;1.417786598
20040211;4;1.417015076
20040211;5;1.416243434
20040211;6;1.415471315
20040211;7;1.414699078
20040211;8;1.413926363
20040211;9;1.413153291
20040211;10;1.412379861
20040211;11;1.411605954
20040211;12;1.410831571
20040211;13;1.410056829
20040211;14;1.409281492
20040211;15;1.408505559
20040211;16;1.40772903
20040211;17;1.406951785
20040211;18;1.406173706
20040211;19;1.405395031
20040211;20;1.404615402
20040211;21;1.403835058
20040211;22;1.403053761
20040211;23;1.402271509
20040211;24;1.401488304
20040212;1;1.400704026
20040212;2;1.399918795
20040212;3;1.39913249
20040212;4;1.398345232
20040212;5;1.397556901
20040212;6;1.396767497
20040212;7;1.395976901
20040212;8;1.395185351
20040212;9;1.394392729
20040212;10;1.393599033
20040212;11;1.392804384
20040212;12;1.39200902
20040212;13;1.39121294
20040212;14;1.390416503
20040212;15;1.389619589
20040212;16;1.388821602
20040212;17;1.388021827
20040212;18;1.387219548
20040212;19;1.386413217
20040212;20;1.385601163
20040212;21;1.384784102
20040212;22;1.383962393
20040212;23;1.383134127
20040212;24;1.382299662
20040213;1;1.381460071
20040213;2;1.380615115
20040213;3;1.379763007
20040213;4;1.378904104
20040213;5;1.378040075
20040213;6;1.377172351
20040213;7;1.376301885
20040213;8;1.375429034
20040213;9;1.374554157
20040213;10;1.373677373
20040213;11;1.37279892
20040213;12;1.371918917
20040213;13;1.371037364
20040213;14;1.370154619
20040213;15;1.369270325
20040213;16;1.368384838
20040213;17;1.367497921
20040213;18;1.366609812
20040213;19;1.365720391
20040213;20;1.364829659
20040213;21;1.363937616
20040213;22;1.363044381
20040213;23;1.362149835
20040213;24;1.361254096
20040214;1;1.360357165
20040214;2;1.359459043
20040214;3;1.358559608
20040214;4;1.357659221
20040214;5;1.35675776
20040214;6;1.355855227
20040214;7;1.354951739
20040214;8;1.354047179
20040214;9;1.353141785
20040214;10;1.352235556
20040214;11;1.351328373
20040214;12;1.350420356
20040214;13;1.349511743
20040214;14;1.348602295
20040214;15;1.347692132
20040214;16;1.346781135
20040214;17;1.345869422
20040214;18;1.344956994
20040214;19;1.344043851
20040214;20;1.343129992
20040214;21;1.342215419
20040214;22;1.34130013
20040214;23;1.340384007
20040214;24;1.339467168
20040215;1;1.338549376
20040215;2;1.337630749
20040215;3;1.336711526
20040215;4;1.335791588
20040215;5;1.334871054
20040215;6;1.333949685
20040215;7;1.333027601
20040215;8;1.332104683
20040215;9;1.331181049
20040215;10;1.330256701
20040215;11;1.329331756
20040215;12;1.328406096
20040215;13;1.32747972
20040215;14;1.326552749
20040215;15;1.325625062
20040215;16;1.324696541
20040215;17;1.323767304
20040215;18;1.322837353
20040215;19;1.321906686
20040215;20;1.320975304
20040215;21;1.320043325
20040215;22;1.319111228
20040215;23;1.318179011
20040215;24;1.317246675
20040216;1;1.316313982
20040216;2;1.315381289
20040216;3;1.314448714
20040216;4;1.313515902
20040216;5;1.31258297
20040216;6;1.311650515
20040216;7;1.310719013
20040216;8;1.309788346
20040216;9;1.308857918
20040216;10;1.307927608
20040216;11;1.306997538
20040216;12;1.306067705
20040216;13;1.305137396
20040216;14;1.304206967
20040216;15;1.303276539
20040216;16;1.30234611
20040216;17;1.301414967
20040216;18;1.30048275
20040216;19;1.299549341
20040216;20;1.298614383
20040216;21;1.297677994
20040216;22;1.296740532
20040216;23;1.295803308
20040216;24;1.294867277
20040217;1;1.293935299
20040217;2;1.293012738
20040217;3;1.292106032
20040217;4;1.291221619
20040217;5;1.290358305
20040217;6;1.289513946
20040217;7;1.28869772
20040217;8;1.287907481
20040217;9;1.287136197
20040217;10;1.286382556
20040217;11;1.285654783
20040217;12;1.284954071
20040217;13;1.284272194
20040217;14;1.283602476
20040217;15;1.28294003
20040217;16;1.282282114
20040217;17;1.281627536
20040217;18;1.280975461
20040217;19;1.280325174
20040217;20;1.279676199
20040217;21;1.279028058
20040217;22;1.278380394
20040217;23;1.277732968
20040217;24;1.277085185
20040218;1;1.276437163
20040218;2;1.275788426
20040218;3;1.275138974
